회사,CIK,표준_항목,element_substring,period_type,금액_원,금액_억원
동양생명,00117267,보험금융손익_PL,InsuranceFinanceIncomeExpensesFromInsuranceContractsIssuedRecognisedInProfitOrLoss,duration,-1299216000000.0,-12992.0
동양생명,00117267,기타변동,IncreaseDecreaseThroughOtherChangesLiabilitiesUnderInsuranceContractsAndReinsuranceContractsIssued,duration,,
삼성화재,00139214,기시잔액,InsuranceContractsThatAreLiabilities,instant_prior,51609549000000.0,516095.0
삼성화재,00139214,기말잔액,InsuranceContractsThatAreLiabilities,instant_curr,48734812000000.0,487348.0
삼성화재,00139214,신계약효과,IncreaseDecreaseThroughEffectsOfContractsInitiallyRecognisedInsuranceContractAssetLiability,duration,,
삼성화재,00139214,CSM조정_추정변동,IncreaseDecreaseThroughChangesInEstimatesThatAdjustContractualServiceMarginInsuranceContractAssetLiability,duration,,
삼성화재,00139214,CSM미조정_추정변동,IncreaseDecreaseThroughChangesInEstimatesThatDoNotAdjustContractualServiceMarginInsuranceContractAssetLiability,duration,,
삼성화재,00139214,과거서비스_변동,IncreaseDecreaseThroughChangesThatRelateToPastServiceInsuranceContractAssetLiability,duration,,
삼성화재,00139214,경험조정,IncreaseDecreaseThroughExperienceAdjustmentsInsuranceContractAssetLiability,duration,,
삼성화재,00139214,수취보험료,IncreaseDecreaseThroughPremiumsReceivedForInsuranceContractAssetLiability,duration,,
삼성화재,00139214,지급보험금,IncreaseDecreaseThroughIncurredClaimsPaidAndOtherInsuranceServiceExpensesPaidInsuranceContractAssetLiability,duration,,
삼성화재,00139214,보험취득CF,IncreaseDecreaseThroughInsuranceAcquisitionCashFlowsInsuranceContractAssetLiability,duration,,
삼성화재,00139214,보험금융손익_PL,InsuranceFinanceIncomeExpensesFromInsuranceContractsIssuedRecognisedInProfitOrLoss,duration,-1196694000000.0,-11967.0
삼성화재,00139214,기타변동,IncreaseDecreaseThroughOtherChangesLiabilitiesUnderInsuranceContractsAndReinsuranceContractsIssued,duration,,
현대해상,00164973,기시잔액,InsuranceContractsThatAreLiabilities,instant_prior,3490304117750.0,34903.0
현대해상,00164973,기말잔액,InsuranceContractsThatAreLiabilities,instant_curr,3477201679505.0,34772.0
현대해상,00164973,신계약효과,IncreaseDecreaseThroughEffectsOfContractsInitiallyRecognisedInsuranceContractAssetLiability,duration,,
현대해상,00164973,CSM조정_추정변동,IncreaseDecreaseThroughChangesInEstimatesThatAdjustContractualServiceMarginInsuranceContractAssetLiability,duration,,
현대해상,00164973,CSM미조정_추정변동,IncreaseDecreaseThroughChangesInEstimatesThatDoNotAdjustContractualServiceMarginInsuranceContractAssetLiability,duration,,
현대해상,00164973,과거서비스_변동,IncreaseDecreaseThroughChangesThatRelateToPastServiceInsuranceContractAssetLiability,duration,,
현대해상,00164973,경험조정,IncreaseDecreaseThroughExperienceAdjustmentsInsuranceContractAssetLiability,duration,,
현대해상,00164973,수취보험료,IncreaseDecreaseThroughPremiumsReceivedForInsuranceContractAssetLiability,duration,,
현대해상,00164973,지급보험금,IncreaseDecreaseThroughIncurredClaimsPaidAndOtherInsuranceServiceExpensesPaidInsuranceContractAssetLiability,duration,,
현대해상,00164973,보험취득CF,IncreaseDecreaseThroughInsuranceAcquisitionCashFlowsInsuranceContractAssetLiability,duration,,
현대해상,00164973,보험금융손익_PL,InsuranceFinanceIncomeExpensesFromInsuranceContractsIssuedRecognisedInProfitOrLoss,duration,-900984107814.0,-9010.0
현대해상,00164973,기타변동,IncreaseDecreaseThroughOtherChangesLiabilitiesUnderInsuranceContractsAndReinsuranceContractsIssued,duration,,
DB손해보험,00159102,기시잔액,InsuranceContractsThatAreLiabilities,instant_prior,3275339000000.0,32753.0
DB손해보험,00159102,기말잔액,InsuranceContractsThatAreLiabilities,instant_curr,3243304000000.0,32433.0
DB손해보험,00159102,신계약효과,IncreaseDecreaseThroughEffectsOfContractsInitiallyRecognisedInsuranceContractAssetLiability,duration,,
DB손해보험,00159102,CSM조정_추정변동,IncreaseDecreaseThroughChangesInEstimatesThatAdjustContractualServiceMarginInsuranceContractAssetLiability,duration,,
DB손해보험,00159102,CSM미조정_추정변동,IncreaseDecreaseThroughChangesInEstimatesThatDoNotAdjustContractualServiceMarginInsuranceContractAssetLiability,duration,,
DB손해보험,00159102,과거서비스_변동,IncreaseDecreaseThroughChangesThatRelateToPastServiceInsuranceContractAssetLiability,duration,,
DB손해보험,00159102,경험조정,IncreaseDecreaseThroughExperienceAdjustmentsInsuranceContractAssetLiability,duration,,
DB손해보험,00159102,수취보험료,IncreaseDecreaseThroughPremiumsReceivedForInsuranceContractAssetLiability,duration,,
DB손해보험,00159102,지급보험금,IncreaseDecreaseThroughIncurredClaimsPaidAndOtherInsuranceServiceExpensesPaidInsuranceContractAssetLiability,duration,,
DB손해보험,00159102,보험취득CF,IncreaseDecreaseThroughInsuranceAcquisitionCashFlowsInsuranceContractAssetLiability,duration,,
DB손해보험,00159102,보험금융손익_PL,InsuranceFinanceIncomeExpensesFromInsuranceContractsIssuedRecognisedInProfitOrLoss,duration,-694130000000.0,-6941.0
DB손해보험,00159102,기타변동,IncreaseDecreaseThroughOtherChangesLiabilitiesUnderInsuranceContractsAndReinsuranceContractsIssued,duration,,
한화손해보험,00135917,기시잔액,InsuranceContractsThatAreLiabilities,instant_prior,580082267000.0,5801.0
한화손해보험,00135917,기말잔액,InsuranceContractsThatAreLiabilities,instant_curr,962872933000.0,9629.0
한화손해보험,00135917,신계약효과,IncreaseDecreaseThroughEffectsOfContractsInitiallyRecognisedInsuranceContractAssetLiability,duration,,
한화손해보험,00135917,CSM조정_추정변동,IncreaseDecreaseThroughChangesInEstimatesThatAdjustContractualServiceMarginInsuranceContractAssetLiability,duration,,
한화손해보험,00135917,CSM미조정_추정변동,IncreaseDecreaseThroughChangesInEstimatesThatDoNotAdjustContractualServiceMarginInsuranceContractAssetLiability,duration,,
한화손해보험,00135917,과거서비스_변동,IncreaseDecreaseThroughChangesThatRelateToPastServiceInsuranceContractAssetLiability,duration,,
한화손해보험,00135917,경험조정,IncreaseDecreaseThroughExperienceAdjustmentsInsuranceContractAssetLiability,duration,,
한화손해보험,00135917,수취보험료,IncreaseDecreaseThroughPremiumsReceivedForInsuranceContractAssetLiability,duration,,
한화손해보험,00135917,지급보험금,IncreaseDecreaseThroughIncurredClaimsPaidAndOtherInsuranceServiceExpensesPaidInsuranceContractAssetLiability,duration,,
한화손해보험,00135917,보험취득CF,IncreaseDecreaseThroughInsuranceAcquisitionCashFlowsInsuranceContractAssetLiability,duration,,
한화손해보험,00135917,보험금융손익_PL,InsuranceFinanceIncomeExpensesFromInsuranceContractsIssuedRecognisedInProfitOrLoss,duration,-443866512000.0,-4439.0
한화손해보험,00135917,기타변동,IncreaseDecreaseThroughOtherChangesLiabilitiesUnderInsuranceContractsAndReinsuranceContractsIssued,duration,,
흥국화재,00103176,기시잔액,InsuranceContractsThatAreLiabilities,instant_prior,9656863000000.0,96569.0
흥국화재,00103176,기말잔액,InsuranceContractsThatAreLiabilities,instant_curr,11144690000000.0,111447.0
흥국화재,00103176,신계약효과,IncreaseDecreaseThroughEffectsOfContractsInitiallyRecognisedInsuranceContractAssetLiability,duration,,
흥국화재,00103176,CSM조정_추정변동,IncreaseDecreaseThroughChangesInEstimatesThatAdjustContractualServiceMarginInsuranceContractAssetLiability,duration,,
흥국화재,00103176,CSM미조정_추정변동,IncreaseDecreaseThroughChangesInEstimatesThatDoNotAdjustContractualServiceMarginInsuranceContractAssetLiability,duration,,
흥국화재,00103176,과거서비스_변동,IncreaseDecreaseThroughChangesThatRelateToPastServiceInsuranceContractAssetLiability,duration,,
흥국화재,00103176,경험조정,IncreaseDecreaseThroughExperienceAdjustmentsInsuranceContractAssetLiability,duration,,
흥국화재,00103176,수취보험료,IncreaseDecreaseThroughPremiumsReceivedForInsuranceContractAssetLiability,duration,,
흥국화재,00103176,지급보험금,IncreaseDecreaseThroughIncurredClaimsPaidAndOtherInsuranceServiceExpensesPaidInsuranceContractAssetLiability,duration,,
흥국화재,00103176,보험취득CF,IncreaseDecreaseThroughInsuranceAcquisitionCashFlowsInsuranceContractAssetLiability,duration,,
흥국화재,00103176,보험금융손익_PL,InsuranceFinanceIncomeExpensesFromInsuranceContractsIssuedRecognisedInProfitOrLoss,duration,-350455000000.0,-3505.0
흥국화재,00103176,기타변동,IncreaseDecreaseThroughOtherChangesLiabilitiesUnderInsuranceContractsAndReinsuranceContractsIssued,duration,,
